いぇ,ye

うぇ,we
うぃ,wi
うぉ,wo

きゃ,kya
きゅ,kyu
きぇ,kye
きょ,kyo
ぎゃ,gya
ぎゅ,gyu
ぎぇ,gye
ぎょ,gyo

くぁ,kwa
くぃ,kwi
くぇ,kwe
くぉ,kwo
ぐぁ,gwa
ぐぃ,gwi
ぐぇ,gwe
ぐぉ,gwo

しゃ,sha
しゅ,shu
しぇ,she
しょ,sho
じゃ,ja
じぇ,je
じゅ,ju
じょ,jo

すぃ,si
ずぃ,zi

ちゃ,cha
ちゅ,chu
ちぇ,che
ちょ,cho

つぁ,tsa
つぃ,tsi
つぇ,tse
つぉ,tso

てぃ,ti
てぇ,tye
てゃ,tya
てゅ,tyu
てょ,tyo
でぃ,di
でぇ,dye
でゃ,dya
でゅ,dyu
でょ,dyo
とぅ,tu
どぅ,du

にゃ,nya
にぇ,nye
にゅ,nyu
にょ,nyo

ひゃ,hya
ひゅ,hyu
ひぇ,hye
ひょ,hyo

びゃ,bya
びゅ,byu
びぇ,bye
びょ,byo

ぴゃ,pya
ぴゅ,pyu
ぴぇ,pye
ぴょ,pyo

ふぁ,fa
ふぃ,fi
ふぇ,fe
ふぉ,fo
ぶぁ,bwa
ぶぃ,bwi
ぶぇ,bwe
ぶぉ,bwo

みゃ,mya
みゅ,myu
みぇ,mye
みょ,myo

りゃ,rya
りゅ,ryu
りぇ,rye
りょ,ryo

ヴぁ,va
ヴぃ,vi
ヴぇ,ve
ヴぉ,vo
ヴ,vu

ガ,nga
ギ,ngi
グ,ngu
ゲ,nge
ゴ,ngo

あ,a
い,i
う,u
え,e
お,o

か,ka
が,ga
き,ki
ぎ,gi
く,ku
ぐ,gu
け,ke
げ,ge
こ,ko
ご,go

さ,sa
ざ,za
し,shi
じ,ji
す,su
ず,zu
せ,se
ぜ,ze
そ,so
ぞ,zo

た,ta
だ,da
ち,chi
つ,tsu
て,te
で,de
と,to
ど,do

な,na
に,ni
ぬ,nu
ね,ne
の,no

は,ha
ば,ba
ぱ,pa
ひ,hi
び,bi
ぴ,pi
ふ,hu
ぶ,bu
ぷ,pu
へ,he
べ,be
ぺ,pe
ほ,ho
ぼ,bo
ぽ,po

ま,ma
み,mi
む,mu
め,me
も,mo

や,ya
ゆ,yu
よ,yo

ら,ra
り,ri
る,ru
れ,re
ろ,ro

わ,wa
ん,n
